Argentina,Canada,Germany,Spain,France,United Kingdom,Greece,India,Ireland,Japan,Norway,Philippines
 7.71, 8.06, 6.97,19.86, 8.87, 7.79,12.71, 5.55,14.53, 5.10, 3.52, 3.61
 7.18, 7.51, 5.82,21.39, 8.81, 8.04,17.86, 5.43,15.35, 4.55, 3.21, 3.59
 7.22, 7.29, 5.38,24.79, 9.40, 7.88,24.44, 5.41,15.45, 4.36, 3.12, 3.50
 7.10, 7.07, 5.23,26.09, 9.92, 7.52,27.47, 5.42,13.73, 4.00, 3.42, 3.50
 7.27, 6.91, 4.98,24.44,10.29, 6.11,26.49, 5.44,11.86, 3.60, 3.48, 3.60
 7.52, 6.91, 4.62,22.06,10.35, 5.30,24.90, 5.43, 9.91, 3.40, 4.30, 3.07
 8.11, 7.00, 4.12,19.63,10.05, 4.81,23.54, 5.42, 8.37, 3.10, 4.68, 2.70
 8.35, 6.34, 3.75,17.22, 9.41, 4.33,21.49, 5.36, 6.71, 2.80, 4.16, 2.55
 9.22, 5.83, 3.38,15.25, 9.02, 4.00,19.29, 5.33, 5.74, 2.40, 3.80, 2.34
 9.84, 5.66, 3.14,14.10, 8.41, 3.74,17.31, 5.27, 4.95, 2.40, 3.69, 2.24
11.46, 9.46, 3.81,15.53, 8.01, 4.47,16.30, 8.00, 5.62, 2.80, 4.42, 2.52
10.90, 7.51, 3.54,14.73, 8.06, 4.53,14.80, 5.98, 6.63, 2.80, 4.99, 2.41
